time,value
2022-11-14,3957.25
2022-11-11,3992.929932
2022-11-10,3956.370117
2022-11-09,3748.570068
2022-11-08,3828.110107
2022-11-07,3806.800049
2022-11-04,3770.550049
2022-11-03,3719.889893
2022-11-02,3759.689941
2022-11-01,3856.100098
2022-10-31,3871.97998
2022-10-28,3901.060059
2022-10-27,3807.300049
2022-10-26,3830.600098
2022-10-25,3859.110107
2022-10-24,3797.340088
2022-10-21,3752.75
2022-10-20,3665.780029
2022-10-19,3695.159912
2022-10-18,3719.97998
2022-10-17,3677.949951
2022-10-14,3583.070068
2022-10-13,3669.909912
2022-10-12,3577.030029
2022-10-11,3588.840088
2022-10-10,3612.389893
2022-10-07,3639.659912
2022-10-06,3744.52002
2022-10-05,3783.280029
2022-10-04,3790.929932
2022-10-03,3678.429932
2022-09-30,3585.620117
2022-09-29,3640.469971
2022-09-28,3719.040039
2022-09-27,3647.290039
2022-09-26,3655.040039
2022-09-23,3693.22998
2022-09-22,3757.98999
2022-09-21,3789.929932
2022-09-20,3855.929932
2022-09-19,3899.889893
2022-09-16,3873.330078
2022-09-15,3901.350098
2022-09-14,3946.01001
2022-09-13,3932.689941
2022-09-12,4110.410156
2022-09-09,4067.360107
2022-09-08,4006.179932
2022-09-07,3979.870117
2022-09-06,3908.189941
2022-09-02,3924.26001
2022-09-01,3966.850098
2022-08-31,3955
2022-08-30,3986.159912
2022-08-29,4030.610107
2022-08-26,4057.659912
2022-08-25,4199.120117
2022-08-24,4140.77002
2022-08-23,4128.72998
2022-08-22,4137.990234
2022-08-19,4228.47998
2022-08-18,4283.740234
2022-08-17,4274.040039
2022-08-16,4305.200195
2022-08-15,4297.140137
2022-08-12,4280.149902
2022-08-11,4207.27002
2022-08-10,4210.240234
2022-08-09,4122.470215
2022-08-08,4140.060059
2022-08-05,4145.189941
2022-08-04,4151.939941
2022-08-03,4155.169922
2022-08-02,4091.189941
2022-08-01,4118.629883
2022-07-29,4130.290039
2022-07-28,4072.429932
2022-07-27,4023.610107
2022-07-26,3921.050049
2022-07-25,3966.840088
2022-07-22,3961.629883
2022-07-21,3998.949951
2022-07-20,3959.899902
2022-07-19,3936.689941
2022-07-18,3830.850098
2022-07-15,3863.159912
2022-07-14,3790.379883
2022-07-13,3801.780029
2022-07-12,3818.800049
2022-07-11,3854.429932
2022-07-08,3899.379883
2022-07-07,3902.620117
2022-07-06,3845.080078
2022-07-05,3831.389893
2022-07-01,3825.330078
2022-06-30,3785.379883
2022-06-29,3818.830078
2022-06-28,3821.550049
2022-06-27,3900.110107
2022-06-24,3911.73999
2022-06-23,3795.72998
2022-06-22,3759.889893
2022-06-21,3764.790039
2022-06-17,3674.840088
2022-06-16,3666.77002
2022-06-15,3789.98999
2022-06-14,3735.47998
2022-06-13,3749.629883
2022-06-10,3900.860107
2022-06-09,4017.820068
2022-06-08,4115.77002
2022-06-07,4160.680176
2022-06-06,4121.430176
2022-06-03,4108.540039
2022-06-02,4176.819824
2022-06-01,4101.22998
2022-05-31,4132.149902
2022-05-27,4158.240234
2022-05-26,4057.840088
2022-05-25,3978.72998
2022-05-24,3941.47998
2022-05-23,3973.75
2022-05-20,3901.360107
2022-05-19,3900.790039
2022-05-18,3923.679932
2022-05-17,4088.850098
2022-05-16,4008.01001
2022-05-13,4023.889893
2022-05-12,3930.080078
2022-05-11,3935.179932
2022-05-10,4001.050049
2022-05-09,3991.23999
2022-05-06,4123.339844
2022-05-05,4146.870117
2022-05-04,4300.169922
2022-05-03,4175.47998
2022-05-02,4155.379883
2022-04-29,4131.930176
2022-04-28,4287.5
2022-04-27,4183.959961
2022-04-26,4175.200195
2022-04-25,4296.120117
2022-04-22,4271.779785
2022-04-21,4393.660156
2022-04-20,4459.450195
2022-04-19,4462.209961
2022-04-18,4391.689941
2022-04-14,4392.589844
2022-04-13,4446.589844
2022-04-12,4397.450195
2022-04-11,4412.529785
2022-04-08,4488.279785
2022-04-07,4500.209961
2022-04-06,4481.149902
2022-04-05,4525.120117
2022-04-04,4582.640137
2022-04-01,4545.859863
2022-03-31,4530.410156
2022-03-30,4602.450195
2022-03-29,4631.600098
2022-03-28,4575.52002
2022-03-25,4543.060059
2022-03-24,4520.160156
2022-03-23,4456.240234
2022-03-22,4511.609863
2022-03-21,4461.180176
2022-03-18,4463.120117
2022-03-17,4411.669922
2022-03-16,4357.859863
2022-03-15,4262.450195
2022-03-14,4173.109863
2022-03-11,4204.310059
2022-03-10,4259.52002
2022-03-09,4277.879883
2022-03-08,4170.700195
2022-03-07,4201.089844
2022-03-04,4328.870117
2022-03-03,4363.490234
2022-03-02,4386.540039
2022-03-01,4306.259766
2022-02-28,4373.939941
2022-02-25,4384.649902
2022-02-24,4288.700195
2022-02-23,4225.5
2022-02-22,4304.759766
2022-02-18,4348.870117
2022-02-17,4380.259766
2022-02-16,4475.009766
2022-02-15,4471.069824
2022-02-14,4401.669922
2022-02-11,4418.640137
2022-02-10,4504.080078
2022-02-09,4587.180176
2022-02-08,4521.540039
2022-02-07,4483.870117
2022-02-04,4500.529785
2022-02-03,4477.439941
2022-02-02,4589.379883
2022-02-01,4546.540039
2022-01-31,4515.549805
2022-01-28,4431.850098
2022-01-27,4326.509766
2022-01-26,4349.930176
2022-01-25,4356.450195
2022-01-24,4410.129883
2022-01-21,4397.939941
2022-01-20,4482.72998
2022-01-19,4532.759766
2022-01-18,4577.109863
2022-01-14,4662.850098
2022-01-13,4659.029785
2022-01-12,4726.350098
2022-01-11,4713.069824
2022-01-10,4670.290039
2022-01-07,4677.029785
2022-01-06,4696.049805
2022-01-05,4700.580078
2022-01-04,4793.540039
2022-01-03,4796.560059
2021-12-31,4766.180176
2021-12-30,4778.72998
2021-12-29,4793.060059
2021-12-28,4786.350098
2021-12-27,4791.189941
2021-12-23,4725.790039
2021-12-22,4696.560059
2021-12-21,4649.22998
2021-12-20,4568.02002
2021-12-17,4620.640137
2021-12-16,4668.669922
2021-12-15,4709.850098
2021-12-14,4634.089844
2021-12-13,4668.970215
2021-12-10,4712.02002
2021-12-09,4667.450195
2021-12-08,4701.209961
2021-12-07,4686.75
2021-12-06,4591.669922
2021-12-03,4538.430176
2021-12-02,4577.100098
2021-12-01,4513.040039
2021-11-30,4567
2021-11-29,4655.27002
2021-11-26,4594.620117
2021-11-24,4701.459961
2021-11-23,4690.700195
2021-11-22,4682.939941
2021-11-19,4697.959961
2021-11-18,4704.540039
2021-11-17,4688.669922
2021-11-16,4700.899902
2021-11-15,4682.799805
